url,name,price,brand,diameter,width,gap width,weight,bearing size,response,material,designed in,made in,machined in,released
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/roppo-yoyo-by-shuriken,Roppo,$ 33.00,Shuriken - Stable and Powerful V-Shaped YoYo!,56.80 mm / 2.24 inches,46.80 mm / 1.84 inches,4.50 mm / 0.18 inches,65.3 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,Hong Kong,NA,NA,June 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/da-vinci-yoyo-by-yoyofriends,Da Vinci,$ 100.00,yoyofriends -   Tomoki Toyama Signature YoYo!,55.89 mm / 2.2 inches,44.64 mm / 1.76 inches,4.50 mm / 0.18 inches,62.6 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Stainless Steel Rings,China,China,NA,June 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/brass-exia-by-mk1yoyos,Brass Exia,$ 70.00,MK1 YoYos - Inner Ring Bi-Metal YoYo!,55.60 mm / 2.19 inches,47.30 mm / 1.86 inches,4.50 mm / 0.18 inches,66.3 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",7068 Aluminum w/ Brass Rings,USA,China,NA,July 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/titanium-koi-by-yoyofriends,Titanium Koi,$ 279.99,yoyofriends - Titanium Organic Shaped YoYo!,56.04 mm / 2.21 inches,43.52 mm / 1.71 inches,4.45 mm / 0.18 inches,65.00 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium,China,China,NA,June 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/titanium-koi-xl-by-yoyofriends,Titanium Koi XL,$ 379.99,yoyofriends - Oversized Organic Titanium YoYo!,63.11 mm / 2.48 inches,48.11 mm / 1.89 inches,4.39 mm / 0.17 inches,63.00 grams,NSK,"""Slim Pad"" Size 19mm OD",Titanium,China,China,NA,June 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/stainless-steel-koi-by-yoyofriends,Stainless Steel Koi,$ 149.99,yoyofriends - Stainless Steel Organic Shaped YoYo!,52.00 mm / 2.05 inches,42.84 mm / 1.69 inches,4.47 mm / 0.18 inches,64.65 grams,Size D,"""Slim Pad"" Size 19mm OD",Stainless Steel,China,China,NA,June 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/damascus-yoyo-by-enso,Full Metal Damascus,$ 625.00,ENSO -  High Performance Titanium x Damascus Steel Rim YoYo!,56.79 mm / 2.24 inches,43.48 mm / 1.71 inches,4.69 mm / 0.18 inches,64.1 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",Titanium w/ EngravedDamascus Steel Rims,USA,China,NA,July 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/the-populist-yoyo-by-doctor-popular,The Populist,$ 120.00,Doctor Popular -  Powerful 7075 Bi-Metal YoYo!,54.16 mm / 2.13 inches,46.01 mm / 1.81 inches,4.51 mm / 0.18 inches,65.00 grams,Size C,19mm,7075 aluminum + Brass or Stainless Steel,NA,NA,NA,2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/klondike-return-top-by-clyw,Klondike,NA,Caribou Lodge -   Japanese focused competition design!,55.6 mm / 0.00 inches,45.1 mm / 0.00 inches,4.45 mm / 0.175 inches,65.0 grams,Size C (.250 x .500 x .187),Snow Tires,6061 Aluminum w/ Stainless Steel Rings,Canada,NA,NA,July 2023
https://shop.yoyoexpert.com/collections/1a-string-trick-yo-yos/products/bullseye-yoyo-by-yoyofactory,Bullseye,$ 34.99,YoYoFactory - Hit the Bullseye,56.5 mm / 2.22 inches,43.5 mm / 1.71 inches,NA,66.3 grams,Size C (.250 x .500 x .187),"""Slim Pad"" Size 19mm OD",6061 Aluminum,USA,China,NA,July 2023
